text,labels
"Therefore, while interpreting statutory provisions, the courts should keep in mind the objectives or purpose for which statute has been enacted.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The petitioner in W.P.No.15821 of 2008 was never considered for appointment under the National Rural Employment Guarantee Scheme either through Employment Exchange sponsorship or by Outsourcing Agencies.,"['O', 'O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'B_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The factum of accident, allegation of rash and negligent driving causing death of Sukendra Pal Singh were denied.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'O']"
"..36.. 

 W.A.No.655/2012 & others Meaning thereby that except interview by the Commission, entire procedure for recruitment as emergency appointment was followed.","['O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The law on this issue is well settled and the law is that though the provisions of Evidence Act are not applicable, but in a given situation the help of the principles of Evidence Act in the proceedings before the assessing authorities can be taken.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mr. Ved Prakash, learned Counsel appearing in Writ Petition No.3457/2000 submitted that the interpretation of RPSC of Rule 15 is unconstitutional and is against Articles 14, 15(4) and 16(4) of the Constitution and that the said interpretation by RPSC is contrary to law Laid down by the Apex Court.","['O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'O', 'O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'B_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'B_ORG', 'I_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT']"
"Before considering the evidence of Rosiah who has been examined as P. W. 3, it is necessary to mention a few preliminary facts.","['O', 'O', 'O', 'O', 'O', 'B_WITNESS', 'I_WITNESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mr. Gavnekar submitted that the decisions in the case of (i) Mahibubi (supra), (ii) Bashir Abbas (supra), (iii) Lakhanlal Purohit (supra) and (iv) Keshav N. Bharti (supra) are rendered by the learned Single Judges and if this Court intends to take a different view, the matter should be referred to a larger Bench.","['O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Even according to the complainant and prosecution witness.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[1968]
1 S.C.R.  260; Dhulabhai  and others  v. The State of Madhya Pradesh and  another [1968]  3 S.C.R. 662 and Union of India v. A. V. Narasimhalu [1970] 2 S.C.R. 145. referred to.
     (2) In  the present  case it  is clear  that  what	 the plaintiff, respondents	wanted to prevent was the threatened breach of  their  right	 which	flowed	from  the  agreement entered into between the derecognised union and the company.","['B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Thus, in our considered opinion, parole for the aforesaid purpose could be obtained under Rule 1 of the Rules of 1955 on the satisfaction of the concerned State Government and subject to the order to be passed by the Central Government as provided in the Rules of 1955.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_ORG', 'I_ORG', 'I_ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"To say that for becoming eligible for registration under Rule 26A one should already be a headload worker, amounts to saying that for registration in the Employment Exchange one should already be a person holding a job.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Whether ignoring the oral and the documentary evidence, the First Appellate Court decided that the suit property is not an ancestral property and that the settlement deed, Ex.B4 executed was valid?","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The petitioner burst his wrath and anger by resorting to firings taking life of an innocent person.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"This paradox can be unlocked only by examining the nature of the activity of the charity, for there are charities and charities.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Judge Judge ns. Cr.A.No.722/2015 21.09.2015  Shri Vivek Singh, learned Counsel for appellants Kashiram and Kishanlal.","['O', 'O', 'O', 'B_CASE_NUMBER', 'B_DATE', 'I_DATE', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'B_PETITIONER', 'I_PETITIONER', 'B_PETITIONER']"
